Delimiter	Agent userID	Agent name	Agent e-mail address	Agent phone number	Record Count	Current Production Month																																							
tab	bhaktamplp	mishaun bhakta	mishaun@magnumproducing.com	3618260116	189	n																																							
Report Type	Record Unique	Operator Number	District	Lease Type	Oil Lease Number/Gas ID	Drilling Permit Number	API Number	Corrected Report	Lease Total Line	Commingle Permit Number	Commingle Permit One-time Use Remark	Cycle Date	Gas Formation  Production	Gas Disp Code 1 - Lse Fld Fuel System	Gas Disp Code 2 - Transmission Line	Gas Disp Code 3 - Processing Plant	Gas Disp Code 4 - Vented or Flared	Gas Disp Code 4 - Vented Flared  Remark	Gas Disp Code 5 - Gas Lift	Gas Disp Code 6 - Pressure Maint	Gas Disp Code 7 - Carbon Black	Gas Disp Code 7 - Carbon Black Plant Name	Gas Disp Code 8 - Underground Storage	Liq Production	Liq Disp Code 0 - Pipeline	Liq Disp Code 1 - Truck	Liq Disp Code 2 - Tank Car or Barge	Liq Disp Code 3 - Net Tank Cleaning	Liq Disp Code 3 - Net Tank Cleaning Remark	Liq Disp Code 4 - Circulating	Liq Disp Code 4 - Circulating Remark	Liq Disp Code 5 - Lost	Liq Disp Code 6 - Sedimentation	Liq Disp Code 6 - Sedimentation Remark	Liq Disp Code 71 - Operator Change	Liq Disp Code 72 - Road Oil	Liq Disp Code 73 - Lease Use	Liq Disp Code 74 - Lost to Formation	Liq Disp Code 75 - Other	Liq Disp Code 75 - Other Remarks	Liq Disp Code 8 - Skim Liquid	Liq Ending  Storage	Field Name	Lease Name	Gas Well Number
pr	1	521516	02	g	127436			n	n			202002	0	0	0									0		0																0			
pr	2	521516	02	g	272206			n	n			202002	0	0	0									0		0																149			
pr	3	521516	02	g	250887			n	n			202002	4641	203	4438									0		0																0			
pr	4	521516	02	g	270531			n	n			202002	0	0	0									0		0																26			
pr	5	521516	02	g	200152			n	n			202002	0	0	0									0		0																0			
pr	6	521516	02	g	258014			n	n			202002	0	0	0									0		0																132			
pr	7	521516	02	o	00394			n	n			202002	0	0	0									621		498																536			
pr	8	521516	02	g	207897			n	n			202002	6	0	6									0		0																0			
pr	9	521516	02	g	145447			n	n			202002	0	0	0									0		0																0			
pr	10	521516	02	o	05446			n	n			202002	0	0	0									16		169																65			
pr	11	521516	02	o	06169			n	n			202002	0	0	0									16		0																120			
pr	12	521516	02	o	08462			n	n			202002	0	0	0									0		0																0			
pr	13	521516	02	g	192476			n	n			202002	0	0	0									0		0																116			
pr	14	521516	02	g	245422			n	n			202002	46878	0	46878									685		954																135			
pr	15	521516	02	o	08646			n	n			202002	0	0	0									185		168																105			
pr	16	521516	02	g	052283			n	n			202002	0	0	0									0		0																240			
pr	17	521516	02	g	253815			n	n			202002	0	0	0									0		0																0			
pr	18	521516	02	g	172874			n	n			202002	0	0	0									0		0																0			
pr	19	521516	02	g	180461			n	n	5048		202002	1435	0	1435									21		0																115			
pr	20	521516	02	g	198005			n	n	5048		202002	0	0	0									0		0																0			
pr	21	521516	02	g	286124			n	n			202002	0	0	0									0		0																80			
pr	22	521516	02	g	132690			n	n	5113		202002	0	0	0									0		0																84			
pr	23	521516	02	g	189915			n	n	5113		202002	0	0	0									0		0																0			
pr	24	521516	02	o	05086			n	n			202002	0	0	0									0		0																0			
pr	25	521516	02	o	06739			n	n			202002	0	0	0									0		0																0			
pr	26	521516	02	o	08169			n	n			202002	0	0	0									0		0																0			
pr	27	521516	02	o	08635			n	n			202002	0	0	0									0		0																0			
pr	28	521516	02	o	08247			n	n			202002	0	0	0									0		0																0			
pr	29	521516	02	g	182045			n	n			202002	0	0	0									0		0																0			
pr	30	521516	02	o	04248			n	n			202002	0	0	0									0		0																213			
pr	31	521516	02	g	184558			n	n	5048		202002	0	0	0									0		0																0			
pr	32	521516	02	g	133437			n	n			202002	0	0	0									0		0																166			
pr	33	521516	02	g	264004			n	n			202002	0	0	0									0		0																0			
pr	34	521516	02	g	220079			n	n			202002	0	0	0									0		0																0			
pr	35	521516	02	g	280417			n	n			202002	0	0	0									0		0																0			
pr	36	521516	02	o	10778			n	n			202002	0	0	0									0		0																0			
pr	37	521516	02	g	138470			n	n			202002	0	0	0									0		0																0			
pr	38	521516	02	g	053255			n	n			202002	0	0	0									0		0																0			
pr	39	521516	02	g	059225			n	n			202002	0	0	0									0		0																0			
pr	40	521516	02	g	174916			n	n			202002	81	0	81									0		0																0			
pr	41	521516	02	o	10230			n	n			202002	0	0	0									71		0																286			
pr	42	521516	03	o	27142			n	n			202002	0	0	0									0		0																0			
pr	43	521516	03	g	280236			n	n			202002	74317	609	73708									1406		1541																428			
pr	44	521516	03	g	253385			n	n			202002	0	0	0									0		0																53			
pr	45	521516	03	o	26482			n	n			202002	0	0	0									0		0																139			
pr	46	521516	03	o	27150			n	n			202002	0	0	0									0		0																0			
pr	47	521516	03	o	26262			n	n			202002	0	0	0									0		0																28			
pr	48	521516	03	o	27348			n	n			202002	541	0	541									0		0																187			
pr	49	521516	03	g	223401			n	n			202002	0	0	0									0		0																0			
pr	50	521516	03	o	26909			n	n			202002	0	0	0									0		0																32			
pr	51	521516	03	g	233975			n	n			202002	0	0	0									0		0																0			
pr	52	521516	03	g	250605			n	n			202002	0	0	0									0		0																0			
pr	53	521516	03	o	27151			n	n			202002	0	0	0									0		0																108			
pr	54	521516	03	g	192497			n	n			202002	0	0	0									0		0																0			
pr	55	521516	03	o	21610			n	n			202002	0	0	0									609		517																284			
pr	56	521516	03	g	272614			n	n			202002	0	0	0									0		0																0			
pr	57	521516	03	g	279199			n	n			202002	2098	0	2098									246		183																200			
pr	58	521516	03	o	15252			n	n			202002	0	0	0									0		0																0			
pr	59	521516	03	g	206045			n	n			202002	7259	377	6882									30		0																95			
pr	60	521516	03	g	188081			n	n			202002	0	0	0									0		0																0			
pr	61	521516	03	g	160307			n	n			202002	0	0	0									0		0																173			
pr	62	521516	03	o	27285			n	n			202002	621	28	593									115		172																262			
pr	63	521516	03	g	282350			n	n			202002	646	56	590									105		195																361			
pr	64	521516	03	o	27418			n	n			202002	3632	196	3436									2507		2318																401			
pr	65	521516	03	o	27236			n	n			202002	1102	28	1074									1022		1089																105			
pr	66	521516	03	o	26501			n	n			202002	0	0	0									0		0																114			
pr	67	521516	03	g	278004			n	n			202002	578	27	551									10		0																67			
pr	68	521516	03	o	24455			n	n			202002	0	0	0									0		0																0			
pr	69	521516	03	o	02099			n	n			202002	0	0	0									396		514																126			
pr	70	521516	03	o	24246			n	n			202002	0	0	0									0		0																52			
pr	71	521516	03	o	27279			n	n			202002	0	0	0									0		0																229			
pr	72	521516	03	o	27495			n	n			202002	0	0	0									29		0																249			
pr	73	521516	03	o	27499			n	n			202002	0	0	0									13		0																282			
pr	74	521516	03	o	27401			n	n			202002	0	0	0									36		0																390			
pr	75	521516	03	g	177442			n	n			202002	0	0	0									0		0																0			
pr	76	521516	03	g	284976			n	n			202002	11265	0	11265									123		177																140			
pr	77	521516	03	o	02812			n	n			202002	0	0	0									0		166																18			
pr	78	521516	03	g	287522			n	n			202002	3981	156	3825									23		166																49			
pr	79	521516	03	o	26743			n	n			202002	0	0	0									0		0																0			
pr	80	521516	03	g	133198			n	n	1471		202002	0	0	0									0		0																0			
pr	81	521516	03	o	22393			n	n	1471		202002	0	0	0									0		0																0			
pr	82	521516	03	g	229081			n	n			202002	0	0	0									0		0																0			
pr	83	521516	03	o	02817			n	n			202002	112	112	0									248		166																208			
pr	84	521516	03	o	26834			n	n			202002	0	0	0									405		357																262			
pr	85	521516	03	o	26193			n	n			202002	0	0	0									0		0																68			
pr	86	521516	03	g	275419			n	n			202002	0	0	0									0		0																0			
pr	87	521516	03	g	139199			n	n			202002	0	0	0									0		0																0			
pr	88	521516	03	o	18769			n	n			202002	0	0	0									130		0																237			
pr	89	521516	03	g	184787			n	n			202002	12042	435	11607									156		163																124			
pr	90	521516	03	g	113719			n	n			202002	1576	0	1576									4		0																103			
pr	91	521516	03	g	038467			n	n			202002	0	0	0									0		0																0			
pr	92	521516	03	o	12721			n	n			202002	0	0	0									0		0																0			
pr	93	521516	03	g	214543			n	n			202002	0	0	0									0		0																0			
pr	94	521516	03	g	235116			n	n			202002	0	0	0									0		0																0			
pr	95	521516	03	g	164970			n	n			202002	3871	203	3668									327		185																246			
pr	96	521516	03	o	24861			n	n			202002	8	2	6									0		0																45			
pr	97	521516	03	g	194105			n	n			202002	0	0	0									0		0																0			
pr	98	521516	03	g	130820			n	n			202002	0	0	0									0		0																0			
pr	99	521516	03	g	284977			n	n			202002	13115	725	12390									27		0																102			
pr	100	521516	03	g	247945			n	n			202002	576	0	576									10		0																102			
pr	101	521516	03	g	285001			n	n			202002	2176	609	1567									9		0																109			
pr	102	521516	03	o	21879			n	n			202002	0	0	0									0		0																0			
pr	103	521516	03	g	158027			n	n			202002	0	0	0									0		0																0			
pr	104	521516	03	g	193384			n	n			202002	2704	87	2617									65		140																64			
pr	105	521516	03	g	047134			n	n			202002	0	0	0									0		0																0			
pr	106	521516	03	g	158691			n	n			202002	1339	29	1310									11		0																197			
pr	107	521516	03	g	091859			n	n			202002	1705	116	1589									31		0																52			
pr	108	521516	03	g	214235			n	n			202002	0	0	0									0		0																0			
pr	109	521516	03	g	058664			n	n			202002	0	0	0									0		0																0			
pr	110	521516	03	g	238352			n	n			202002	0	0	0									0		0																0			
pr	111	521516	03	g	163161			n	n	1988		202002	0	0	0									0		0																0			
pr	112	521516	03	g	183638			n	n			202002	158	8	150									0		0																0			
pr	113	521516	03	g	199834			n	n	1988		202002	643	56	587									39		175																123			
pr	114	521516	03	g	201550			n	n	1988		202002	89	0	89									0		0																0			
pr	115	521516	03	g	210199			n	n			202002	512	28	484									0		0																63			
pr	116	521516	03	g	210200			n	n			202002	336	6	330									0		0																33			
pr	117	521516	03	g	215622			n	n			202002	1851	25	1826									0		0																98			
pr	118	521516	03	g	216963			n	n			202002	0	0	0									0		0																0			
pr	119	521516	03	g	217825			n	n			202002	2717	168	2549									0		0																0			
