Delimiter	Agent userID	Agent name	Agent e-mail address	Agent phone number	Record Count	Current Production Month																																																																																																																																																																																																																																																			
tab	bhaktamplp	mishaun bhakta	mishaun@magnumproducing.com	3618260116	189	n																																																																																																																																																																																																																																																			
Report Type	Record Unique	Operator Number	District	Lease Type	Oil Lease Number/Gas ID	Drilling Permit Number	API Number	Corrected Report	Lease Total Line	Commingle Permit Number	Commingle Permit One-time Use Remark	Cycle Date	Gas Formation  Production	Gas Disp Code 1 - Lse Fld Fuel System	Gas Disp Code 2 - Transmission Line	Gas Disp Code 3 - Processing Plant	Gas Disp Code 4 - Vented or Flared	Gas Disp Code 4 - Vented Flared  Remark	Gas Disp Code 5 - Gas Lift	Gas Disp Code 6 - Pressure Maint	Gas Disp Code 7 - Carbon Black	Gas Disp Code 7 - Carbon Black Plant Name	Gas Disp Code 8 - Underground Storage	Liq Production	Liq Disp Code 0 - Pipeline	Liq Disp Code 1 - Truck	Liq Disp Code 2 - Tank Car or Barge	Liq Disp Code 3 - Net Tank Cleaning	Liq Disp Code 3 - Net Tank Cleaning Remark	Liq Disp Code 4 - Circulating	Liq Disp Code 4 - Circulating Remark	Liq Disp Code 5 - Lost	Liq Disp Code 6 - Sedimentation	Liq Disp Code 6 - Sedimentation Remark	Liq Disp Code 71 - Operator Change	Liq Disp Code 72 - Road Oil	Liq Disp Code 73 - Lease Use	Liq Disp Code 74 - Lost to Formation	Liq Disp Code 75 - Other	Liq Disp Code 75 - Other Remarks	Liq Disp Code 8 - Skim Liquid	Liq Ending  Storage	Field Name	Lease Name	Gas Well Number																																																																																																																																																																																																												
pr	1	521516	02	g	127436			n	n			202006	0	0	0		0							0		0																0																																																																																																																																																																																																															
pr	2	521516	02	g	272206			n	n			202006	0	0	0		0							0		0																149																																																																																																																																																																																																															
pr	3	521516	02	g	250887			n	n			202006	4412	210	4202		0							0		0																0																																																																																																																																																																																																															
pr	4	521516	02	g	270531			n	n			202006	0	0	0		0							0		0																26																																																																																																																																																																																																															
pr	5	521516	02	g	200152			n	n			202006	0	0	0		0							0		0																0																																																																																																																																																																																																															
pr	6	521516	02	g	258014			n	n			202006	0	0	0		0							0		0																132																																																																																																																																																																																																															
pr	7	521516	02	o	00394			n	n			202006	0	0	0		0							717		1177																514																																																																																																																																																																																																															
pr	8	521516	02	g	207897			n	n			202006	15	0	15		0							0		0																0																																																																																																																																																																																																															
pr	9	521516	02	g	145447			n	n			202006	0	0	0		0							0		0																0																																																																																																																																																																																																															
pr	10	521516	02	o	05446			n	n			202006	0	0	0		0							18		0																135																																																																																																																																																																																																															
pr	11	521516	02	o	06169			n	n			202006	0	0	0		0							21		0																69																																																																																																																																																																																																															
pr	12	521516	02	o	08462			n	n			202006	0	0	0		0							0		0																0																																																																																																																																																																																																															
pr	13	521516	02	g	192476			n	n			202006	0	0	0		0							0		0																116																																																																																																																																																																																																															
pr	14	521516	02	g	245422			n	n			202006	38495	0	38495		0							437		943																202																																																																																																																																																																																																															
pr	15	521516	02	o	08646			n	n			202006	0	0	0		0							0		0																123																																																																																																																																																																																																															
pr	16	521516	02	g	052283			n	n			202006	0	0	0		0							0		0																240																																																																																																																																																																																																															
pr	17	521516	02	g	253815			n	n			202006	0	0	0		0							0		0																0																																																																																																																																																																																																															
pr	18	521516	02	g	172874			n	n			202006	0	0	0		0							0		0																0																																																																																																																																																																																																															
